"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","Подтверждение создания объекта","tests.api","Mon Apr 07 15:36:17 GMT 2025","passed","Mon Apr 07 15:36:17 GMT 2025","","test_api","",""
"","16","Создание объекта","tests.api","Mon Apr 07 15:36:17 GMT 2025","passed","Mon Apr 07 15:36:17 GMT 2025","","test_api","",""
"","14","Подтверждение создания объекта","tests.api","Mon Apr 07 15:36:17 GMT 2025","passed","Mon Apr 07 15:36:17 GMT 2025","","test_api","",""
"","0","Обновление созданного объекта","tests.api","Mon Apr 07 15:36:17 GMT 2025","passed","Mon Apr 07 15:36:17 GMT 2025","","test_api","",""
"","3","Удаление созданного объекта объекта","tests.api","Mon Apr 07 15:36:17 GMT 2025","passed","Mon Apr 07 15:36:17 GMT 2025","","test_api","",""
